asset,name,kind,family,s57_object_class,s57_conditions,s52_instruction,s101_symbol_id,has_s101,has_aquamap,has_opencpn,canonical_svg,day_render,visual_parity
BCNLTC01,"lattice beacon, full-chart",symbol,buoy_beacon_marks,BCNCAR,BCNSHP4,"SY(BCNLTC01);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",BCNLTC01,True,False,True,assets/svg/triad_generated/BCNLTC01.svg,,repaired_pending_judge_rerun
BCNSAW13,"major safe water beacon, simplified",symbol,buoy_beacon_marks,BCNSAW,BCNSHP3,"SY(BCNSAW13);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNSAW13,True,True,True,assets/svg/triad_generated/BCNSAW13.svg,,repaired_pending_judge_rerun
BCNSAW21,"minor safe water beacon, simplified",symbol,buoy_beacon_marks,BCNSAW,BCNSHP1,"SY(BCNSAW21);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNSAW21,True,True,True,assets/svg/triad_generated/BCNSAW21.svg,,repaired_pending_judge_rerun
BCNSPP13,"major special purpose beacon, simplified",symbol,buoy_beacon_marks,BCNSPP,BCNSHP3,"SY(BCNSPP13);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNSPP13,True,True,True,assets/svg/triad_generated/BCNSPP13.svg,,repaired_pending_judge_rerun
BCNSPP21,"minor special purpose beacon, simplified",symbol,buoy_beacon_marks,BCNSPP,BCNSHP1,"SY(BCNSPP21);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNSPP21,True,True,True,assets/svg/triad_generated/BCNSPP21.svg,,repaired_pending_judge_rerun
BCNSPR62,"yellow spar beacon, full-chart",symbol,buoy_beacon_marks,BCNSPP,COLOUR6,"SY(BCNSPR62);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSPR62.svg,,repaired_pending_judge_rerun
BCNSTK02,"minor, stake or pole beacon, full-chart",symbol,buoy_beacon_marks,BCNCAR,BCNSHP1,"SY(BCNSTK02);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",BCNSTK02,True,False,True,assets/svg/triad_generated/BCNSTK02.svg,,repaired_pending_judge_rerun
BCNSTK03,river beacon stake - pole,symbol,ugly_attribute_edges,bcnlat,BCNSHP1,"SY(BCNSTK03);TX(OBJNAM,2,1,2,'14106',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK03.svg,,repaired_pending_judge_rerun
BCNSTK05,"minor, stake or pole beacon, white, full-chart",symbol,buoy_beacon_marks,BCNSPP,BCNSHP1;COLOUR1,"SY(BCNSTK05);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK05.svg,,repaired_pending_judge_rerun
BCNSTK08,"minor, stake or pole beacon,yellow full-chart",symbol,buoy_beacon_marks,BCNSPP,BCNSHP1;COLOUR6,"SY(BCNSTK08);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK08.svg,,repaired_pending_judge_rerun
BCNSTK60,"minor, stake or pole beacon, red, full-chart",symbol,buoy_beacon_marks,BCNLAT,BCNSHP5;CATLAM2;COLOUR3,"SY(BCNSTK60);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK60.svg,,repaired_pending_judge_rerun
BCNSTK61,"minor, stake or pole beacon, green, full-chart",symbol,buoy_beacon_marks,BCNLAT,BCNSHP5;CATLAM1;COLOUR4,"SY(BCNSTK61);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK61.svg,,repaired_pending_judge_rerun
BCNSTK62,"minor, stake or pole beacon, yellow, full-chart",symbol,buoy_beacon_marks,BCNSPP,BCNSHP7;COLOUR6,"SY(BCNSTK62);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK62.svg,,repaired_pending_judge_rerun
BCNSTK77,"minor, stake or pole beacon, green/white, full-chart",symbol,buoy_beacon_marks,BCNLAT,"BCNSHP1;COLOUR1,4,1","SY(BCNSTK77);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK77.svg,,repaired_pending_judge_rerun
BCNSTK78,"minor, stake or pole beacon, red/white, full-chart",symbol,buoy_beacon_marks,BOYLAT,"BOYSHP5;COLOUR3,1;COLPAT1","SY(BCNSTK78);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK78.svg,,repaired_pending_judge_rerun
BCNSTK79,"minor, stake or pole beacon, red/green/red, full-chart",symbol,ugly_attribute_edges,boylat,"BOYSHP5;COLOUR3,4,3;COLPAT1","SY(BCNSTK79);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK79.svg,,repaired_pending_judge_rerun
BCNSTK80,"minor, stake or pole beacon, green/red/green, full-chart",symbol,ugly_attribute_edges,boylat,"BOYSHP5;COLOUR4,3,4;COLPAT1","SY(BCNSTK80);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK80.svg,,repaired_pending_judge_rerun
BCNSTK81,"minor, stake or pole beacon, red/white, full-chart",symbol,buoy_beacon_marks,BOYLAT,"BOYSHP5;COLOUR4,1;COLPAT1","SY(BCNSTK81);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK81.svg,,repaired_pending_judge_rerun
BCNSTK82,"minor, stake or pole beacon, red/green, full-chart",symbol,buoy_beacon_marks,BCNLAT,"COLPAT1;COLOUR3,4","SY(BCNSTK82);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK82.svg,,repaired_pending_judge_rerun
BCNSTK83,"minor, stake or pole beacon, green/red, full-chart",symbol,buoy_beacon_marks,BCNLAT,"COLPAT1;COLOUR4,3","SY(BCNSTK83);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNSTK83.svg,,repaired_pending_judge_rerun
BCNTOW01,"beacon tower, full-chart",symbol,buoy_beacon_marks,BCNCAR,BCNSHP3,"SY(BCNTOW01);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",BCNTOW01,True,False,True,assets/svg/triad_generated/BCNTOW01.svg,,repaired_pending_judge_rerun
BCNTOW05,"beacon tower, white, full-chart",symbol,buoy_beacon_marks,BCNLAT,BCNSHP7;COLOUR1,"SY(BCNTOW05);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW05.svg,,repaired_pending_judge_rerun
BCNTOW60,"beacon tower, red, full-chart",symbol,buoy_beacon_marks,BCNLAT,BCNSHP3;COLOUR3,"SY(BCNTOW60);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW60.svg,,repaired_pending_judge_rerun
BCNTOW61,"beacon tower, green, full-chart",symbol,buoy_beacon_marks,BCNLAT,BCNSHP3;COLOUR4,"SY(BCNTOW61);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW61.svg,,repaired_pending_judge_rerun
BCNTOW62,"beacon yellow, red, full-chart",symbol,buoy_beacon_marks,BCNSPP,BCNSHP3;COLOUR6,"SY(BCNTOW62);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW62.svg,,repaired_pending_judge_rerun
BCNTOW63,"beacon tower, red/white, full-chart",symbol,buoy_beacon_marks,BCNLAT,"BCNSHP3;CATLAM2;COLPAT1;COLOUR1,3","SY(BCNTOW63);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW63.svg,,repaired_pending_judge_rerun
BCNTOW64,"beacon tower, red/white, full-chart",symbol,buoy_beacon_marks,BCNLAT,"BCNSHP3;CATLAM2;COLPAT1;COLOUR3,1","SY(BCNTOW64);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW64.svg,,repaired_pending_judge_rerun
BCNTOW65,"beacon tower, green/white, full-chart",symbol,buoy_beacon_marks,BCNLAT,"BCNSHP3;CATLAM1;COLPAT1;COLOUR4,1","SY(BCNTOW65);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW65.svg,,repaired_pending_judge_rerun
BCNTOW66,"beacon tower, green/white, full-chart",symbol,buoy_beacon_marks,BCNLAT,"BCNSHP3;CATLAM1;COLPAT1;COLOUR1,4","SY(BCNTOW66);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW66.svg,,repaired_pending_judge_rerun
BCNTOW68,"beacon by, full-chart",symbol,buoy_beacon_marks,BCNCAR,"COLOUR2,6;BCNSHP3","SY(BCNTOW68);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW68.svg,,repaired_pending_judge_rerun
BCNTOW69,"beacon yb, full-chart",symbol,buoy_beacon_marks,BCNCAR,"COLOUR6,2;BCNSHP3","SY(BCNTOW69);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW69.svg,,repaired_pending_judge_rerun
BCNTOW70,"beacon byb, full-chart",symbol,buoy_beacon_marks,BCNCAR,"COLOUR2,6,2;BCNSHP3","SY(BCNTOW70);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW70.svg,,repaired_pending_judge_rerun
BCNTOW71,"beacon yby, full-chart",symbol,buoy_beacon_marks,BCNCAR,"COLOUR6,2,6;BCNSHP3","SY(BCNTOW71);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW71.svg,,repaired_pending_judge_rerun
BCNTOW74,"beacon tower, grg, full-chart",symbol,buoy_beacon_marks,BCNLAT,"BCNSHP3;CATLAM4;COLPAT1;COLOUR3,4,3","SY(BCNTOW74);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW74.svg,,repaired_pending_judge_rerun
BCNTOW76,"beacon tower, brb, full-chart",symbol,buoy_beacon_marks,BCNISD,"BCNSHP3;COLOUR2,3,2","SY(BCNTOW76);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW76.svg,,repaired_pending_judge_rerun
BCNTOW85,"beacon tower, green/white, full-chart",symbol,buoy_beacon_marks,BCNSPP,"BCNSHP3;COLOUR4,1;COLPAT2","SY(BCNTOW85);TE('%s','OBJNAM',2,1,2,'15110',-1,-2,CHBLK,21)",,False,False,True,assets/svg/triad_generated/BCNTOW85.svg,,repaired_pending_judge_rerun
