symbol_name,symbol_id,prefix,pdf_page,reference_number,match_count,match_status,matched_assets
SY(FSHRES71),FSHRES71,SY,148,141,0,not_in_standard_source_table,
SY(GATCON03),GATCON03,SY,149,142,1,matched_standard_source_table_asset,GATCON03
SY(GATCON04),GATCON04,SY,150,143,1,matched_standard_source_table_asset,GATCON04
SY(HILTOP01),HILTOP01,SY,151,144,1,matched_standard_source_table_asset,HILTOP01
SY(HILTOP11),HILTOP11,SY,152,145,1,matched_standard_source_table_asset,HILTOP11
SY(HRBFAC09),HRBFAC09,SY,153,146,1,matched_standard_source_table_asset,HRBFAC09
SY(HULKES01),HULKES01,SY,154,147,1,matched_standard_source_table_asset,HULKES01
SY(INFARE51),INFARE51,SY,155,148,1,matched_standard_source_table_asset,INFARE51
SY(INDHLT01),INDHLT01,SY,156,594,0,not_in_standard_source_table,
SY(INFORM01),INFORM01,SY,157,149,1,matched_standard_source_table_asset,INFORM01
SY(CHDATD01),CHDATD01,SY,158,591,0,not_in_standard_source_table,
SY(ISODGR01),ISODGR01,SY,159,150,0,not_in_standard_source_table,
SY(ITZARE51),ITZARE51,SY,160,151,1,matched_standard_source_table_asset,ITZARE51
SY(LIGHTS11),LIGHTS11,SY,161,152,0,not_in_standard_source_table,
SY(LIGHTS12),LIGHTS12,SY,162,153,0,not_in_standard_source_table,
SY(LIGHTS13),LIGHTS13,SY,163,154,0,not_in_standard_source_table,
SY(LIGHTS81),LIGHTS81,SY,164,155,0,not_in_standard_source_table,
SY(LIGHTS82),LIGHTS82,SY,165,156,0,not_in_standard_source_table,
SY(LITDEF11),LITDEF11,SY,166,157,0,not_in_standard_source_table,
SY(LITFLT01),LITFLT01,SY,167,158,1,matched_standard_source_table_asset,LITFLT01
SY(LITFLT02),LITFLT02,SY,168,159,1,matched_standard_source_table_asset,LITFLT02
SY(LITVES01),LITVES01,SY,169,160,1,matched_standard_source_table_asset,LITVES01
SY(LITVES02),LITVES02,SY,170,161,1,matched_standard_source_table_asset,LITVES02
SY(LNDARE01),LNDARE01,SY,171,162,1,matched_standard_source_table_asset,LNDARE01
SY(LOCMAG01),LOCMAG01,SY,172,163,1,matched_standard_source_table_asset,LOCMAG01
SY(LOCMAG51),LOCMAG51,SY,173,164,1,matched_standard_source_table_asset,LOCMAG51
SY(LOWACC01),LOWACC01,SY,174,165,1,matched_standard_source_table_asset,LOWACC01
SY(MAGVAR01),MAGVAR01,SY,175,166,1,matched_standard_source_table_asset,MAGVAR01
